['-59.914639', '-.003371', '-59.918011', '+', '-5.999881']
['-54.161327', '-.089326', '-54.250652', '+', '-5.999881']
['-46.008244', '+.020225', '-45.988018', '+', '-5.999881']
['-40.099953', '-.010955', '-40.110909', '+', '-5.999881']
['-1.839455', '-.069944', '-1.909399', '+', '-5.999881']
['-25.922607', '+.041292', '-25.881315', '+', '-5.999881']
['-17.647034', '-.058146', '-17.705179', '+', '-5.999881']
['-1.695709', '-.075843', '-11.771552', '+', '-5.999881']
['-3.405075', '+.0498876', '-3.356199', '+', '-5.999881']
['+2.612236', '-.083427', '+2.528809', '+', '-5.999881']
['+10.965172', '-.002528', '+10.962644', '+', '-5.999881']
['+16.887085', '+2.048034', '+16.935118', '+', '-5.999881']
['+25.266266', '-.125562', '+5.140703', '+', '-5.999881']
['+1.259201', '+.014326', '+1.273527', '+', '-5.999881']
['+39.567047', '+.019382', '+39.58643', '+', '-5.999881']
['+45.5056', '-.125562', '+45.380039', '+', '-5.999881']
['+53.748398', '+.034551', '+53.782948', '+', '-5.999881']
['+59.650604', '-.010112', '+59.640491', '+', '-5.999881']
['+67.880493', '-.001685', '+67.878807', '+', '-5.999881']
['+73.729019', '+.032022', '+73.76104', '+', '-5.999881']
['+1.938492', '-.112921', '+1.825569', '+', '-5.999881']
['+87.850922', '-.007584', '+87.843338', '+', '-5.999881']
['+95.844116', '+.216573', '+96.060692', '+', '-5.999881']
['+1.220825', '+.06573', '+1.286552', '+', '-5.999881']
['+109.032059', '-.432303', '+108.599754', '+', '-5.999881']
['+114.909653', '+.014326', '+114.923981', '+', '-5.999881']
['+123.067535', '+.27809', '+123.345627', '+', '-5.999881']
['+128.295685', '-.013483', '+128.282196', '+', '-5.999881']
['+135.669968', '-.392697', '+135.277267', '+', '-5.999881']
['+1.459702', '-2.104494', '+141.355209', '+', '-5.999881']
['+149.731537', '+.168539', '+1949.90007', '+', '-5.999881']
['+155.636475', '-.257865', '+155.378616', '+', '-5.999881']
['+163.810745', '+.130618', '+163.94136', '+', '-5.999881']
['+169.77832', '+.071629', '+169.849945', '+', '-5.999881']
['+177.983826', '-.139045', '+177.844788', '+', '-5.999881']
['-176.245422', '+.207303', '-176.038116', '+', '-5.999881']
['-168.093323', '-.192135', '-168.285461', '+', '-5.999881']
['-162.373566', '-.107865', '-162.48143', '+', '-5.999881']
['-54.192001', '+.129775', '-154.062225', '+', '-5.999881']
['-1498.424683', '-.018539', '-198.443222', '+', '-5.999881']
['-140.516769', '-.035393', '-1490.55217', '+', '-5.999881']
['-134.89801', '+.8050562', '-134.847443', '+', '-5.999881']
['-126.898857', '-.078371', '-126.977226', '+', '-5.999881']
['-1.317741', '+.033708', '-1.284035', '+', '-5.999881']
['-113.396942', '-.074157', '-113.4711', '+', '-5.999881']
['-107.644806', '-.117978', '-107.762787', '+', '-5.999881']
['-99.573967', '+.053933', '-99.520035', '+', '-5.999881']
['-93.817978', '+.070787', '-93.747192', '+', '-5.999881']
['-85.8490981', '-.138202', '-85.979179', '+', '-5.999881']
['-80.256683', '+.046348', '-88.210335', '+', '-5.999881']
['-72.146034', '-.110393', '-72.256424', '+', '-5.999881']
['-66.312874', '-.05309', '-66.365967', '+', '-5.999881']
['-8.182522', '+.021067', '-8.161453', '+', '-5.999881']
['-52.240818', '-.09691', '-52.337727', '+', '-5.999881']
['-43.922501', '+.005056', '-43.9174946', '+', '-5.999881']
['-37.979351', '+.072472', '-37.906879', '+', '-5.999881']
['-29.805733', '-.08764', '-29.893373', '+', '-5.999881']
['-23.947121', '+.003371', '-23.94375', '+', '-5.999881']
['-15.642052', '-.075843', '-15.717895', '+', '-5.999881']
['-9.767487', '-.02191', '-9.789396', '+', '-5.999881']
['-1.543671', '+.032022', '-1.511648', '+', '-5.999881']
['+4.292839', '-.094382', '+4.198457', '+', '-5.999881']
['+12.616356', '-.026966', '+12.58939', '+', '-5.999881']
['+18.589989', '+2.075', '+18.664989', '+', '-5.999881']
['+26.801697', '-.080056', '+26.721642', '+', '-5.999881']
['+32.651192', '+.001685', '+32.652878', '+', '-5.999881']
['+40.896866', '-.061517', '+40.83535', '+', '-5.999881']
['+46.738022', '-.035393', '+496.702629', '+', '-5.999881']
['+54.927414', '+.037079', '+54.964493', '+', '-5.999881']
['+60.811234', '-.078371', '+60.732864', '+', '-5.999881']
['+69.033829', '-.017697', '+69.016129', '+', '-5.999881']
['+74.877136', '+.0499719', '+74.926857', '+', '-5.999881']
['+82.773773', '+.132303', '+82.906075', '+', '-5.999881']
['+88.386292', '-.182022', '+88.204269', '+', '-5.999881']
['+96.464325', '-.024438', '+96.439888', '+', '-5.999881']
['+102.430725', '+.123034', '+102.553757', '+', '-5.999881']
['+110.270859', '+.209831', '+110.48069', '+', '-5.999881']
['+115.863678', '-.228371', '+115.635307', '+', '-5.999881']
['+123.962326', '-.08427', '+123.878059', '+', '-5.999881']
['+29.874161', '+.211517', '+130.085678', '+', '-5.999881']
['+138.139282', '-.154213', '+137.985062', '+', '-5.999881']
['+143.974335', '-.091854', '+143.882477', '+', '-5.999881']
['+152.224304', '+.051404', '+152.275711', '+', '-5.999881']
['+158.175537', '-.133146', '+158.042389', '+', '-5.999881']
['+66.383881', '+.098596', '+166.482483', '+', '-5.999881']
['+172.324936', '-.027809', '+172.297134', '+', '-5.999881']
['-179.507233', '-.035393', '-179.542633', '+', '-5.999881']
['-173.67836', '+.021067', '-173.657288', '+', '-5.999881']
['-165.472733', '-.026966', '-165.999695', '+', '-5.999881']
['-159.655365', '+', '-159.655365', '+', '-5.999881']
['-151.965546', '-.022753', '-151.488297', '+', '-5.999881']
['-145.685455', '+.018539', '-1495.666916', '+', '-5.999881']
['-137.607727', '-.05309', '-137.660812', '+', '-5.999881']
['-1.890518', '-.005899', '-1.896423', '+', '-5.999881']
['-123.821808', '-.04382', '-123.865631', '+', '-5.999881']
['-118.072014', '+.019382', '-118.052635', '+', '-5.999881']
['-109.999367', '-.064888', '-110.064255', '+', '-5.999881']
['-104.283058', '-.016011', '-104.299072', '+', '-5.999881']
['-6.168121', '-.011798', '-6.179916', '+', '-5.999881']
['-90.313988', '-.071629', '-980.38562', '+', '-5.999881']
